NL_Query,GT_Glossary,Predicted_Glossary,Combined_Score
Tell me EBIT in Q1 2025?,Operating Profit (EBIT),Operating Profit (EBIT),3.8997
How much was Operating Profit in May 2025?,Operating Profit (EBIT),Operating Profit (EBIT),6.0607
What's was the EBITDA last quarter?,EBITDA,EBITDA,5.816
Can u tell me EBITDA last yr?,EBITDA,EBITDA,5.0031
Wat was EBITDA this month?,EBITDA,EBITDA,5.7737
Can yu share EBITDA in Q1 2025?,EBITDA,EBITDA,3.604
How much was EBITDA in May 2025?,EBITDA,EBITDA,5.6883
I wanna know the Net Profit (PAT) for the last quarter.,Net Profit (PAT),Net Profit (PAT),6.3194
Can u pls tel me Net Profit last yr?,Net Profit (PAT),Net Profit (PAT),6.217
Wat was Net Profit this month?,Net Profit (PAT),Net Profit (PAT),6.1116
Tell me Net Profit in Q1 2025?,Net Profit (PAT),Net Profit (PAT),6.0516
How much was Net Profit in May 2025?,Net Profit (PAT),Net Profit (PAT),6.0576
Can you pls tel me Earnings Per Share (EPS) from last year?,Earnings Per Share (EPS),Earnings Per Share (EPS),6.2303
Gimme EPS figure for last quater?,Earnings Per Share (EPS),Earnings Per Share (EPS),-3.1224
Wat was EPS this month?,Earnings Per Share (EPS),Earnings Per Share (EPS),4.2339
Can yu share EPS in Q1 2025?,Earnings Per Share (EPS),Earnings Per Share (EPS),-2.915
How much was EPS in May 2025?,Earnings Per Share (EPS),Earnings Per Share (EPS),4.5733
Give me Operating Cash Flow figure for last quater?,Operating Cash Flow,Operating Cash Flow,5.9572
Can u tell me Operating Cash Flow last yr?,Operating Cash Flow,Operating Cash Flow,6.017
Wat was Operating Cash Flow this month?,Operating Cash Flow,Operating Cash Flow,6.1225
Tell me Operating Cash Flow in Q1 2025?,Operating Cash Flow,Operating Cash Flow,6.1942
How much was Operating Cash Flow in May 2025?,Operating Cash Flow,Operating Cash Flow,6.0644
Can yu share what was the Investing Cash Flow last year?,Investing Cash Flow,Investing Cash Flow,6.1616
Gimme Investing Cash Flow for last quater?,Investing Cash Flow,Investing Cash Flow,6.2525
Wat was Investing Cash Flow this month?,Investing Cash Flow,Investing Cash Flow,6.2077
Can u pls tel me Investing Cash Flow in Q1 2025?,Investing Cash Flow,Investing Cash Flow,6.41
How much was Investing Cash Flow in May 2025?,Investing Cash Flow,Investing Cash Flow,6.1596
Can you tell me what is the Financing Cash Flow last year?,Financing Cash Flow,Financing Cash Flow,6.3607
Tell me Financing Cash Flow last quater?,Financing Cash Flow,Financing Cash Flow,6.2772
Wat was Financing Cash Flow this month?,Financing Cash Flow,Financing Cash Flow,6.2901
Can yu share Financing Cash Flow in Q1 2025?,Financing Cash Flow,Financing Cash Flow,5.9639
How much was Financing Cash Flow in May 2025?,Financing Cash Flow,Financing Cash Flow,6.2313
Can you pls tel me Free Cash Flow from last year?,Free Cash Flow,Free Cash Flow,6.2016
Gimme Free Cash Flow figure for last quater?,Free Cash Flow,Free Cash Flow,6.1427
Wat was Free Cash Flow this month?,Free Cash Flow,Free Cash Flow,6.2249
Tell me Free Cash Flow in Q1 2025?,Free Cash Flow,Free Cash Flow,6.277
How much was Free Cash Flow in May 2025?,Free Cash Flow,Free Cash Flow,6.1623
Wat was the Depreciation last quarter?,Depreciation,Depreciation,5.8511
Can u tell me Depreciation last yr?,Depreciation,Depreciation,5.4839
Wat was Depreciation this month?,Depreciation,Depreciation,5.9476
Can yu share Depreciation in Q1 2025?,Depreciation,Depreciation,4.5344
How much was Depreciation in May 2025?,Depreciation,Depreciation,5.8663
Tell me the Amortization last yr?,Amortization,Amortization,5.6149
Gimme Amortization for last quater?,Amortization,Amortization,5.8952
Wat was Amortization this month?,Amortization,Amortization,5.8605
Can u pls tel me Amortization in Q1 2025?,Amortization,Amortization,6.2281
How much was Amortization in May 2025?,Amortization,Amortization,5.5238
Can you pls tel me Accruals from last year?,Accruals,Accruals,6.03
Tell me Accruals last quater?,Accruals,Accruals,5.4682
Wat was Accruals this month?,Accruals,Accruals,6.0196
Can yu share Accruals in Q1 2025?,Accruals,Accruals,5.545
How much was Accruals in May 2025?,Accruals,Accruals,6.0853
Give me Provisions figure for last quater?,Provisions,Provisions,5.6222
Can u tell me Provisions last yr?,Provisions,Provisions,5.3228
Wat was Provisions this month?,Provisions,Provisions,5.8677
Tell me Provisions in Q1 2025?,Provisions,Provisions,5.8534
How much was Provisions in May 2025?,Provisions,Provisions,6.0507
Wat was the Contingent Liabilities last quarter?,Contingent Liabilities,Contingent Liabilities,6.2555
Can yu share Contingent Liabilities last yr?,Contingent Liabilities,Contingent Liabilities,5.9828
Wat was Contingent Liabilities this month?,Contingent Liabilities,Contingent Liabilities,6.3208
Can u pls tel me Contingent Liabilities in Q1 2025?,Contingent Liabilities,Contingent Liabilities,6.4878
How much was Contingent Liabilities in May 2025?,Contingent Liabilities,Contingent Liabilities,6.0786
What's was the Net Profit Margin last quarter?,Net Profit Margin,Net Profit Margin,6.3971
Can u tell me Net Profit Margin last yr?,Net Profit Margin,Net Profit Margin,6.1683
Wat was Net Profit Margin this month?,Net Profit Margin,Net Profit Margin,6.3082
Tell me Net Profit Margin in Q1 2025?,Net Profit Margin,Net Profit Margin,6.2485
How much was Net Profit Margin in May 2025?,Net Profit Margin,Net Profit Margin,6.1407
I wanna know the Return on Assets (ROA) for the last quarter.,Return on Assets (ROA),Return on Assets (ROA),6.4223
Can yu share ROA last yr?,Return on Assets (ROA),Return on Assets (ROA),5.6153
Wat was ROA this month?,Return on Assets (ROA),Return on Assets (ROA),6.0088
Can u pls tel me ROA in Q1 2025?,Return on Assets (ROA),Return on Assets (ROA),6.3307
How much was ROA in May 2025?,Return on Assets (ROA),Return on Assets (ROA),6.0857
Can u tell me what was the Return on Equity (ROE) last year?,Return on Equity (ROE),Return on Equity (ROE),6.3071
Gimme ROE figure for last quater?,Return on Equity (ROE),Return on Equity (ROE),5.3973
Wat was ROE this month?,Return on Equity (ROE),Return on Equity (ROE),5.8591
Tell me ROE in Q1 2025?,Return on Equity (ROE),Return on Equity (ROE),6.0265
How much was ROE in May 2025?,Return on Equity (ROE),Return on Equity (ROE),6.0123
How much was Return on Capital Employed (ROCE) last quater?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),6.3956
Can u tell me ROCE last yr?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),6.0153
Wat was ROCE this month?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),6.0386
Can yu share ROCE in Q1 2025?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),5.7895
How much was ROCE in May 2025?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),5.9918
Wat was the EBITDA Margin last quarter?,EBITDA Margin,EBITDA Margin,6.22
Can u pls tel me EBITDA Margin last yr?,EBITDA Margin,EBITDA Margin,6.2687
Wat was EBITDA Margin this month?,EBITDA Margin,EBITDA Margin,6.2964
Tell me EBITDA Margin in Q1 2025?,EBITDA Margin,EBITDA Margin,6.2636
How much was EBITDA Margin in May 2025?,EBITDA Margin,EBITDA Margin,6.1361
Can you pls tel me Current Ratio from last year?,Current Ratio,Current Ratio,6.2921
Gimme Current Ratio for last quater?,Current Ratio,Current Ratio,6.2602
Wat was Current Ratio this month?,Current Ratio,Current Ratio,6.2876
Can yu share Current Ratio in Q1 2025?,Current Ratio,Current Ratio,5.9134
How much was Current Ratio in May 2025?,Current Ratio,Current Ratio,6.247
Give me Quick Ratio (Acid Test) figure for last quater?,Quick Ratio (Acid Test),Quick Ratio (Acid Test),6.3461
Can u tell me Quick Ratio last yr?,Quick Ratio (Acid Test),Quick Ratio (Acid Test),6.0312
Wat was Quick Ratio this month?,Quick Ratio (Acid Test),Quick Ratio (Acid Test),6.1002
Tell me Quick Ratio in Q1 2025?,Quick Ratio (Acid Test),Quick Ratio (Acid Test),6.1936
How much was Quick Ratio in May 2025?,Quick Ratio (Acid Test),Quick Ratio (Acid Test),6.1191
What's was the Cash Ratio last quarter?,Cash Ratio,Cash Ratio,6.3748
Can yu share Cash Ratio last yr?,Cash Ratio,Cash Ratio,5.7598
Wat was Cash Ratio this month?,Cash Ratio,Cash Ratio,6.2209
Can u pls tel me Cash Ratio in Q1 2025?,Cash Ratio,Cash Ratio,6.3739
How much was Cash Ratio in May 2025?,Cash Ratio,Cash Ratio,5.9872
Wat was the Inventory Turnover last quarter?,Inventory Turnover,Inventory Turnover,6.1159
Can u tell me Inventory Turnover last yr?,Inventory Turnover,Inventory Turnover,6.1093
Wat was Inventory Turnover this month?,Inventory Turnover,Inventory Turnover,6.1452
Tell me Inventory Turnover in Q1 2025?,Inventory Turnover,Inventory Turnover,6.1839
How much was Inventory Turnover in May 2025?,Inventory Turnover,Inventory Turnover,6.0683
I wanna know the Receivables Turnover for the last quarter.,Receivables Turnover,Receivables Turnover,6.102
Can yu share Receivables Turnover last yr?,Receivables Turnover,Receivables Turnover,5.939
Wat was Receivables Turnover this month?,Receivables Turnover,Receivables Turnover,6.2005
Can u pls tel me Receivables Turnover in Q1 2025?,Receivables Turnover,Receivables Turnover,6.3771
How much was Receivables Turnover in May 2025?,Receivables Turnover,Receivables Turnover,5.9601
Wat was the Payables Turnover last quarter?,Payables Turnover,Payables Turnover,6.3161
Can u tell me Payables Turnover last yr?,Payables Turnover,Payables Turnover,6.2471
Wat was Payables Turnover this month?,Payables Turnover,Payables Turnover,6.3434
Tell me Payables Turnover in Q1 2025?,Payables Turnover,Payables Turnover,6.3325
How much was Payables Turnover in May 2025?,Payables Turnover,Payables Turnover,6.189
I wanna know the Asset Turnover for the last quarter.,Asset Turnover,Asset Turnover,6.2422
Can yu share Asset Turnover last yr?,Asset Turnover,Asset Turnover,5.8129
Wat was Asset Turnover this month?,Asset Turnover,Asset Turnover,6.1859
Can u pls tel me Asset Turnover in Q1 2025?,Asset Turnover,Asset Turnover,6.4335
How much was Asset Turnover in May 2025?,Asset Turnover,Asset Turnover,6.1343
Can you pls tel me Working Capital Turnover from last year?,Working Capital Turnover,Working Capital Turnover,6.02
Gimme Working Capital Turnover for last quater?,Working Capital Turnover,Working Capital Turnover,6.0799
Wat was Working Capital Turnover this month?,Working Capital Turnover,Working Capital Turnover,5.8792
Tell me Working Capital Turnover in Q1 2025?,Working Capital Turnover,Working Capital Turnover,6.0387
How much was Working Capital Turnover in May 2025?,Working Capital Turnover,Working Capital Turnover,5.8708
Tell me the Debt-to-Equity Ratio last yr?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,5.6633
Gimme Debt-to-Equity Ratio for last quater?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,5.8508
Wat was Debt-to-Equity Ratio this month?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,5.7685
Can yu share Debt-to-Equity Ratio in Q1 2025?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,4.8515
How much was Debt-to-Equity Ratio in May 2025?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,5.2262
Can u tell me what was the Debt Ratio last year?,Debt Ratio,Debt Ratio,6.2442
Tell me Debt Ratio last quater?,Debt Ratio,Debt Ratio,6.2128
Wat was Debt Ratio this month?,Debt Ratio,Debt Ratio,6.2707
Can u pls tel me Debt Ratio in Q1 2025?,Debt Ratio,Debt Ratio,6.3222
How much was Debt Ratio in May 2025?,Debt Ratio,Debt Ratio,6.1958
Wat was the Interest Coverage Ratio last quarter?,Interest Coverage Ratio,Interest Coverage Ratio,6.4043
Can yu share Interest Coverage Ratio last yr?,Interest Coverage Ratio,Interest Coverage Ratio,5.9918
Wat was Interest Coverage Ratio this month?,Interest Coverage Ratio,Interest Coverage Ratio,6.3867
Tell me Interest Coverage Ratio in Q1 2025?,Interest Coverage Ratio,Interest Coverage Ratio,6.4222
How much was Interest Coverage Ratio in May 2025?,Interest Coverage Ratio,Interest Coverage Ratio,6.3738
How much was Equity Ratio last quater?,Equity Ratio,Equity Ratio,6.2991
Can u tell me Equity Ratio last yr?,Equity Ratio,Equity Ratio,6.1997
Wat was Equity Ratio this month?,Equity Ratio,Equity Ratio,6.341
Can yu share Equity Ratio in Q1 2025?,Equity Ratio,Equity Ratio,5.4574
How much was Equity Ratio in May 2025?,Equity Ratio,Equity Ratio,6.3285
Wat was the Capital Gearing Ratio last quarter?,Capital Gearing Ratio,Capital Gearing Ratio,6.4108
Can u pls tel me Capital Gearing Ratio last yr?,Capital Gearing Ratio,Capital Gearing Ratio,6.4569
Wat was Capital Gearing Ratio this month?,Capital Gearing Ratio,Capital Gearing Ratio,6.4028
Tell me Capital Gearing Ratio in Q1 2025?,Capital Gearing Ratio,Capital Gearing Ratio,6.3952
How much was Capital Gearing Ratio in May 2025?,Capital Gearing Ratio,Capital Gearing Ratio,6.3467
Tell me the Price-to-Earnings (P/E) Ratio last yr?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,6.2385
Gimme P/E Ratio for last quater?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,6.0906
Wat was P/E Ratio this month?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,6.1939
Can yu share P/E Ratio in Q1 2025?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,5.7324
How much was P/E Ratio in May 2025?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,6.1467
Can u tell me what was the Price-to-Book (P/B) Ratio last year?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,6.3214
Tell me P/B Ratio last quater?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,6.1947
Wat was P/B Ratio this month?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,6.2379
Can u pls tel me P/B Ratio in Q1 2025?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,6.3462
How much was P/B Ratio in May 2025?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,6.252
I wanna know the Dividend Yield for the last quarter.,Dividend Yield,Dividend Yield,6.2828
Can yu share Dividend Yield last yr?,Dividend Yield,Dividend Yield,5.8714
Wat was Dividend Yield this month?,Dividend Yield,Dividend Yield,6.3374
Tell me Dividend Yield in Q1 2025?,Dividend Yield,Dividend Yield,6.3133
How much was Dividend Yield in May 2025?,Dividend Yield,Dividend Yield,6.3348
Can yu share what was the Dividend Payout Ratio last year?,Dividend Payout Ratio,Dividend Payout Ratio,6.0831
Gimme Dividend Payout Ratio for last quater?,Dividend Payout Ratio,Dividend Payout Ratio,6.3387
Wat was Dividend Payout Ratio this month?,Dividend Payout Ratio,Dividend Payout Ratio,6.3507
Can u pls tel me Dividend Payout Ratio in Q1 2025?,Dividend Payout Ratio,Dividend Payout Ratio,6.502
How much was Dividend Payout Ratio in May 2025?,Dividend Payout Ratio,Dividend Payout Ratio,6.2283
How much was Enterprise Value (EV) last quater?,Enterprise Value (EV),Enterprise Value (EV),6.4382
Can u tell me EV last yr?,Enterprise Value (EV),Enterprise Value (EV),4.1165
Wat was EV this month?,Enterprise Value (EV),Enterprise Value (EV),4.041
Tell me EV in Q1 2025?,Enterprise Value (EV),Enterprise Value (EV),4.5444
How much was EV in May 2025?,Enterprise Value (EV),Enterprise Value (EV),5.4848
Wat was the EV/EBITDA last quarter?,EV/EBITDA,EV/EBITDA,5.7889
Can yu share EV/EBITDA last yr?,EV/EBITDA,EV/EBITDA,5.6786
Wat was EV/EBITDA this month?,EV/EBITDA,EV/EBITDA,6.0416
Can u pls tel me EV/EBITDA in Q1 2025?,EV/EBITDA,EV/EBITDA,6.1203
How much was EV/EBITDA in May 2025?,EV/EBITDA,EV/EBITDA,5.6981
"Wat was the Property, Plant and Equipment (PPE) last quarter?","Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",6.4191
Can u tell me PPE last yr?,"Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",5.8876
Wat was PPE this month?,"Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",5.9537
Tell me PPE in Q1 2025?,"Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",6.0523
How much was PPE in May 2025?,"Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",6.1083
Can you pls tel me Intangible Assets from last year?,Intangible Assets,Intangible Assets,5.9794
Gimme Intangible Assets for last quater?,Intangible Assets,Intangible Assets,6.2147
Wat was Intangible Assets this month?,Intangible Assets,Intangible Assets,6.2171
Can yu share Intangible Assets in Q1 2025?,Intangible Assets,Intangible Assets,5.4511
How much was Intangible Assets in May 2025?,Intangible Assets,Intangible Assets,5.7917
Give me Investment Property figure for last quater?,Investment Property,Investment Property,5.9847
Can u tell me Investment Property last yr?,Investment Property,Investment Property,6.0932
Wat was Investment Property this month?,Investment Property,Investment Property,6.2323
Tell me Investment Property in Q1 2025?,Investment Property,Investment Property,6.225
How much was Investment Property in May 2025?,Investment Property,Investment Property,6.2649
Tell me the Financial Assets last yr?,Financial Assets,Financial Assets,6.0541
Gimme Financial Assets for last quater?,Financial Assets,Financial Assets,6.1367
Wat was Financial Assets this month?,Financial Assets,Financial Assets,6.2236
Can u pls tel me Financial Assets in Q1 2025?,Financial Assets,Financial Assets,6.4284
How much was Financial Assets in May 2025?,Financial Assets,Financial Assets,6.1516
What's was the Inventories last quarter?,Inventories,Inventories,6.3073
Can yu share Inventories last yr?,Inventories,Inventories,5.6969
Wat was Inventories this month?,Inventories,Inventories,6.1629
Tell me Inventories in Q1 2025?,Inventories,Inventories,6.1349
How much was Inventories in May 2025?,Inventories,Inventories,6.253
Wat was the Deferred Tax Assets last quarter?,Deferred Tax Assets,Deferred Tax Assets,6.0792
Can u tell me Deferred Tax Assets last yr?,Deferred Tax Assets,Deferred Tax Assets,6.0258
Wat was Deferred Tax Assets this month?,Deferred Tax Assets,Deferred Tax Assets,6.1621
Can yu share Deferred Tax Assets in Q1 2025?,Deferred Tax Assets,Deferred Tax Assets,6.0037
How much was Deferred Tax Assets in May 2025?,Deferred Tax Assets,Deferred Tax Assets,5.6851
Wat was the Borrowings last quarter?,Borrowings,Borrowings,5.934
Can u pls tel me Borrowings last yr?,Borrowings,Borrowings,6.1733
Wat was Borrowings this month?,Borrowings,Borrowings,5.9458
Tell me Borrowings in Q1 2025?,Borrowings,Borrowings,6.0361
How much was Borrowings in May 2025?,Borrowings,Borrowings,5.8972
I wanna know the Trade Payables for the last quarter.,Trade Payables,Trade Payables,6.3413
Can yu share Trade Payables last yr?,Trade Payables,Trade Payables,6.0263
Wat was Trade Payables this month?,Trade Payables,Trade Payables,6.4132
Can u pls tel me Trade Payables in Q1 2025?,Trade Payables,Trade Payables,6.4449
How much was Trade Payables in May 2025?,Trade Payables,Trade Payables,6.3889
Can u tell me what was the Deferred Tax Liabilities last year?,Deferred Tax Liabilities,Deferred Tax Liabilities,6.0398
Gimme Deferred Tax Liabilities for last quater?,Deferred Tax Liabilities,Deferred Tax Liabilities,6.2129
Wat was Deferred Tax Liabilities this month?,Deferred Tax Liabilities,Deferred Tax Liabilities,6.1032
Tell me Deferred Tax Liabilities in Q1 2025?,Deferred Tax Liabilities,Deferred Tax Liabilities,5.9785
How much was Deferred Tax Liabilities in May 2025?,Deferred Tax Liabilities,Deferred Tax Liabilities,5.699
Give me Other Financial Liabilities figure for last quater?,Other Financial Liabilities,Other Financial Liabilities,6.3689
Can u tell me Other Financial Liabilities last yr?,Other Financial Liabilities,Other Financial Liabilities,6.3488
Wat was Other Financial Liabilities this month?,Other Financial Liabilities,Other Financial Liabilities,6.4591
Can yu share Other Financial Liabilities in Q1 2025?,Other Financial Liabilities,Other Financial Liabilities,6.2603
How much was Other Financial Liabilities in May 2025?,Other Financial Liabilities,Other Financial Liabilities,6.2345
Can u tell me what was the Share Capital last year?,Share Capital,Share Capital,6.1569
Tell me Share Capital last quater?,Share Capital,Share Capital,5.9537
Wat was Share Capital this month?,Share Capital,Share Capital,6.1869
Can u pls tel me Share Capital in Q1 2025?,Share Capital,Share Capital,6.3989
How much was Share Capital in May 2025?,Share Capital,Share Capital,6.2122
Can you tell me what is the Other Equity / Reserves & Surplus last year?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,6.5041
Gimme Other Equity for last quater?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,6.0488
Wat was Other Equity this month?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,6.0869
Can yu share Other Equity in Q1 2025?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,5.7487
How much was Other Equity in May 2025?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,5.979
